,Unnamed: 0,Project Title,Generated/Expected/reduced,Per year/To date,Method,Carbon credit amount,Registry ID,Registry,Total Credits,Yearly Credits,Credits Retired Total,Credits Retired Owned,Credits Retired Unowned,Credits Retired Company,Longitude,Latitude
0,0,DARKWOODS FOREST CARBON PROJECT,Generated,Per year ,Carbon credits,147000.0,VCS607,https://registry.verra.org/app/projectDetail/VCS/607,3356374.0,279697.8333,2394122.0,944349.0,1449773.0,18598.0,-116.846603,49.288547
1,1,THE GUATEMALAN CONSERVATION COAST,Generated,To date,Carbon credits,5300000.0,VCS1622,https://registry.verra.org/app/projectDetail/VCS/1622,6026775.0,602677.5,2401679.0,1658811.0,742868.0,680884.0,-88.891564,15.216831
2,2,CORDILLERA AZUL NATIONAL PARK,Generated,To date,Carbon credits,25200000.0,VCS985,https://registry.verra.org/app/projectDetail/VCS/985,32034090.0,3559343.333,10596424.0,10113016.0,483408.0,3893946.0,-75.987144,-7.083974
3,3,FOREST MANAGEMENT TO REDUCE DEFORESTATION AND DEGRADATION,Generated,To date,Carbon credits,2500000.0,VCS1360,https://registry.verra.org/app/projectDetail/VCS/1360,2499251.0,249925.1,637901.0,437943.0,199958.0,266078.0,-74.387325,-9.20195
4,4,TAMBOPATA NATIONAL RESERVE PROJECT,Generated,To date,Carbon credits,4000000.0,VCS1360,https://registry.verra.org/app/projectDetail/VCS/1360,2499251.0,249925.1,637901.0,437943.0,199958.0,266078.0,-74.387325,-9.20195
5,5,THE KASIGAU CORRIDOR REDD+ PROJECT (Phase 1),Generated,To date,Carbon credits,14800000.0,VCS562,https://registry.verra.org/app/projectDetail/VCS/562,3622786.0,213105.0588,1865657.0,485073.0,1380584.0,0.0,38.785508,-3.674261
6,6,THE KASIGAU CORRIDOR REDD+ PROJECT (phase 2),Generated,To date,Carbon credits,14800000.0,VCS612,https://registry.verra.org/app/projectDetail/VCS/612,16077582.0,1461598.364,4988529.0,2529629.0,2458900.0,1506658.0,38.805574,-3.917672
7,7,THE MAI NDOMBE REDD+ PROJECT,Generated,Per year,Carbon credits,5671613.0,VCS934,https://registry.verra.org/app/projectDetail/VCS/934,36586734.0,3658673.4,2073786.0,1838718.0,235068.0,0.0,18.043932,-1.957187
8,8,COMACO LANDSCAPE MANAGEMENT PROJECT,Expected ,Per year,Carbon credits,866667.0,VCS1532,https://registry.verra.org/app/projectDetail/VCS/1532,1621089.0,202636.125,197458.0,125744.0,71714.0,0.0,33.185848,-11.925421
9,9,SOUTHERN CARDAMOM REDD+ PROJECT,Generated,To date,Carbon credits,27600000.0,VCS1748,https://registry.verra.org/app/projectDetail/VCS/1748,27627237.0,3946748.143,4390868.0,2992671.0,1398197.0,0.0,103.503275,11.540589
10,10,KATINGAN MENTAYA PROJECT,Generated,Per year ,Carbon credits,7500000.0,VCS1477,https://registry.verra.org/app/projectDetail/VCS/1477,39998290.0,6666381.667,13267570.0,11550922.0,1716648.0,3772929.0,113.267275,-2.382579
20,20,REFORESTATION OF DEGRADED FOREST RESERVES IN GHANA,Generated,Per year,Carbon credits,8800.0,VCS987,https://registry.verra.org/app/projectDetail/VCS/987,766488.0,191622.0,426001.0,195017.0,230984.0,25032.0,-1.852324,7.408508
22,22,TIST PROGRAM UGANDA 1,Generated,Per year,Carbon credits,13500.0,VCS824,https://registry.verra.org/app/projectDetail/VCS/824,245014.0,81671.33333,238524.0,41529.0,196995.0,0.0,30.176894,0.557316
23,23,TIST PROGRAM UGANDA 2,Generated,Per year,Carbon credits,13500.0,VCS824,https://registry.verra.org/app/projectDetail/VCS/825,245014.0,81671.33333,238524.0,41529.0,196995.0,0.0,30.176894,0.557316
